wl,tulle_16,tulle_12,tulle_8,tulle_6,tulle_4,tulle_3,tulle_2,tulle_1
266.33,18.704,27.903,39.276,46.052,62.625,76.003,76.882,84.927
266.59,18.782,26.713,39.429,45.567,62.435,75.647,77.045,84.899
266.86,19.751,25.767,39.918,46.377,62.935,75.325,77.459,84.675
267.13,19.78,25.29,39.976,46.999,62.545,74.806,77.359,84.043
267.4,19.549,25.286,39.009,47.036,62.454,73.752,76.844,84.366
267.66,19.527,25.408,38.362,46.993,63.187,73.939,76.362,84.438
267.93,19.001,24.605,38.575,46.895,64.292,74.284,76.508,84.597
268.2,18.631,23.699,37.73,47.595,64.482,74.534,76.735,84.656
268.47,19.285,23.574,38.215,48.529,64.447,74.833,76.614,84.089
268.74,19.024,22.406,38.738,48.009,64.777,75.048,77.178,85.224
269,18.601,22.223,38.901,47.441,64.862,75.16,76.83,85.893
269.27,17.542,22.126,37.886,46.431,64.083,73.867,75.402,85.116
269.54,17.409,22.096,37.875,46.534,65.328,73.648,75.536,85.639
269.81,17.451,23.124,38.977,47.04,65.758,74.065,75.306,85.51
270.07,16.963,22.407,38.788,46.431,65.511,73.867,74.843,84.681
270.34,16.635,21.084,37.698,45.487,65.235,73.915,75.103,84.901
270.61,16.908,21.002,37.787,46.067,65.078,73.344,74.965,86.236
270.88,16.614,20.864,37.309,45.88,64.772,72.903,74.123,86.62
271.14,16.265,21.424,37.132,45.898,65.24,73.027,74.838,87.127
271.41,15.301,21.164,36.444,45.292,64.753,72.92,75.121,87.817
271.68,14.349,21.085,35.664,44.37,63.63,72.271,75.163,88.513
271.95,13.575,20.357,35.058,43.288,62.832,72.521,75.372,89.043
272.21,13.405,19.815,34.483,43.408,62.337,72.245,76.364,89.793
272.48,13.237,19.676,33.601,43.72,61.385,71.651,75.469,89.966
272.75,12.608,18.779,32.979,43.316,61.645,70.823,75.351,89.063
273.02,11.767,18.973,33.445,42.996,61.846,70.514,75.148,88.997
273.28,12.155,19.177,33.274,43.454,62.161,69.796,74.063,87.928
273.55,12.127,18.807,33.01,43.309,61.605,69.312,73.742,87.67
273.82,12.224,18.402,33.927,43.863,61.828,69.677,73.376,88.221
274.09,12.376,17.88,33.937,44.138,60.775,69.544,72.885,87.933
274.35,13.489,17.864,33.343,44.683,60.786,69.241,73.086,88.102
274.62,13.174,17.816,32.759,44.725,60.367,68.751,73.021,88.725
