wl,white_fabric
716.81,77.438
717.13,77.439
717.46,77.413
717.78,77.395
718.1,77.4
718.42,77.386
718.75,77.406
719.07,77.388
719.39,77.411
719.71,77.414
720.03,77.391
720.35,77.363
720.68,77.355
721,77.327
721.32,77.336
721.64,77.347
721.96,77.324
722.28,77.303
722.61,77.283
722.93,77.296
723.25,77.336
723.57,77.353
723.89,77.363
724.21,77.333
724.53,77.333
724.85,77.315
725.18,77.341
725.5,77.321
725.82,77.329
726.14,77.318
726.46,77.329
726.78,77.344
727.1,77.35
727.42,77.381
727.74,77.375
728.06,77.392
728.38,77.389
728.71,77.322
729.03,77.318
729.35,77.301
729.67,77.325
729.99,77.319
730.31,77.342
730.63,77.336
730.95,77.353
731.27,77.353
731.59,77.346
731.91,77.346
732.23,77.308
732.55,77.29
732.87,77.254
733.19,77.238
733.51,77.193
733.83,77.181
734.15,77.237
734.47,77.215
734.79,77.197
735.11,77.166
735.43,77.175
735.75,77.132
736.07,77.13
736.39,77.108
736.7,77.103
737.02,77.097
737.34,77.09
737.66,77.138
737.98,77.146
738.3,77.168
738.62,77.178
738.94,77.192
739.26,77.196
739.58,77.16
739.9,77.145
740.22,77.163
740.53,77.168
740.85,77.16
741.17,77.176
741.49,77.146
741.81,77.164
742.13,77.168
742.45,77.162
742.76,77.134
743.08,77.088
743.4,77.078
743.72,77.077
744.04,77.09
744.36,77.101
744.67,77.048
744.99,77.04
745.31,77.048
745.63,77.061
745.95,77.046
746.27,77.042
746.58,77.043
746.9,77.065
747.22,77.048
747.54,77.063
747.85,77.035
748.17,77.091
748.49,77.11
748.81,77.135
749.12,77.128
749.44,77.088
749.76,77.097
750.08,77.149
750.39,77.165
750.71,77.161
751.03,77.134
751.35,77.126
751.66,77.122
751.98,77.132
752.3,77.14
752.62,77.111
752.93,77.063
753.25,77.103
753.57,77.066
753.88,77.073
754.2,77.016
754.52,77.018
754.83,77.065
755.15,77.047
755.47,77.059
755.78,77.044
756.1,77.07
756.42,77.089
756.73,77.107
757.05,77.146
757.36,77.12
757.68,77.13
758,77.161
758.31,77.185
758.63,77.184
758.95,77.179
759.26,77.185
759.58,77.223
759.89,77.197
760.21,77.179
760.53,77.159
760.84,77.152
761.16,77.139
761.47,77.111
761.79,77.077
762.1,77.069
762.42,77.028
762.74,77.045
763.05,77.021
763.37,77.029
763.68,77.027
764,77.02
764.31,77.014
764.63,77.001
764.94,76.997
765.26,77.009
765.57,76.999
765.89,76.986
766.2,76.96
766.52,76.962
766.83,76.945
767.15,76.918
767.46,76.92
767.78,76.914
768.09,76.892
768.41,76.855
768.72,76.827
769.04,76.812
769.35,76.818
769.66,76.824
769.98,76.828
770.29,76.823
770.61,76.809
770.92,76.818
771.24,76.866
771.55,76.855
771.86,76.815
772.18,76.805
772.49,76.861
772.81,76.836
773.12,76.836
773.43,76.807
773.75,76.819
774.06,76.81
774.38,76.802
774.69,76.765
775,76.716
775.32,76.688
775.63,76.621
775.94,76.631
776.26,76.617
776.57,76.604
776.88,76.615
777.2,76.613
777.51,76.65
777.82,76.606
778.14,76.568
778.45,76.615
778.76,76.592
779.07,76.6
779.39,76.589
779.7,76.616
780.01,76.615
780.33,76.695
780.64,76.643
780.95,76.715
781.26,76.647
781.58,76.609
781.89,76.609
782.2,76.601
782.51,76.618
782.83,76.556
783.14,76.566
783.45,76.578
783.76,76.522
784.08,76.553
784.39,76.542
784.7,76.555
785.01,76.511
785.32,76.503
785.64,76.444
785.95,76.536
786.26,76.488
786.57,76.517
786.88,76.554
787.2,76.519
787.51,76.551
