wl,floor_5,floor_4,floor_3,floor_2,floor_1
349.77,133.489,162.773,32.243,60.903,72.118
350.15,124.714,154.429,40.286,58.714,75.714
350.52,143.361,173.109,37.647,63.697,74.622
350.89,127.803,161.286,33.483,56.203,73.244
351.26,119.973,142.527,29.891,45.652,67.663
351.63,112.983,142.265,23.757,44.613,68.785
352,111.066,134.818,28.34,46.019,73.549
352.37,111.081,119.595,26.081,38.514,63.919
352.74,102.42,123.312,29.809,38.854,67.771
353.11,93.533,111.778,35.912,36.143,60.624
353.48,80.331,106.851,33.37,31.05,55.691
353.85,75.789,92.823,30.431,32.153,52.823
354.22,68.96,85.913,32.432,33.17,54.382
354.59,63.729,82.297,29.662,30.37,50.669
354.97,56.206,74.471,26.939,23.977,45.557
355.34,48.432,60.226,24.592,20.64,36.7
355.71,46.9,58.152,23.651,21.183,33.927
356.08,41.942,53.554,22.923,20.12,30.731
356.45,39.829,45.802,21.868,20.386,29.008
356.82,36.507,40.5,18.677,20.976,26.906
357.19,33.739,37.574,16.999,20.243,25.332
357.56,30.503,34.288,16.288,19.48,25.008
357.93,27.771,31.396,14.679,19.652,22.588
358.3,26.623,30.687,15.057,18.085,20.867
358.67,23.723,30.317,13.956,15.419,21.244
359.04,23.646,28.836,14.508,16.629,20.262
359.41,22.929,27.63,14.582,16.653,19.263
359.78,22.517,27.273,15.527,17.074,19.939
360.15,22.526,25.579,16.333,17.228,19.526
360.52,22.318,24.519,17.297,17.819,20.427
360.89,21.468,24.011,16.714,17.963,20.445
361.26,21.007,23.578,16.168,17.392,20.715
361.63,21.492,23.645,16.506,18.634,21.351
362,21.258,22.344,16.842,18.787,20.972
362.37,21.268,22.533,17.272,19.447,20.99
362.74,21.13,22.476,17.976,20.185,20.986
363.11,21.656,22.973,19.367,20.311,22.114
363.48,22.235,23.352,19.931,20.525,22.403
363.85,22.917,24.191,20.427,21.552,23.124
364.21,23.607,24.717,21.472,22.32,24.47
364.58,24.458,25.822,22.49,23.201,25.578
364.95,25.211,26.351,23.528,24.017,26.097
365.32,26.523,27.255,24.415,25.147,27.242
365.69,27.359,28.563,25.756,26.29,28.41
366.06,28.821,30.143,27.357,27.927,29.534
366.43,30.29,31.589,28.688,29.012,31.153
366.8,32.006,32.72,30.118,30.233,32.485
367.17,33.48,34.042,31.279,31.454,33.44
367.54,34.928,35.558,32.806,32.984,34.983
367.91,36.497,36.851,34.074,34.372,36.063
368.28,37.922,38.159,35.393,35.72,37.61
368.65,38.942,39.183,36.817,36.881,38.683
369.01,40.31,40.462,38.18,38.422,40.081
369.38,41.346,41.697,39.605,39.767,41.368
369.75,42.391,42.564,40.9,40.994,42.412
370.12,43.626,43.669,42.073,42.079,43.481
370.49,44.809,44.595,43.234,43.334,44.756
370.86,45.911,45.393,44.225,44.391,45.652
371.23,47.08,46.22,45.367,45.506,46.458
371.6,48.14,47.283,46.407,46.454,47.598
371.96,48.889,48.074,47.228,47.291,48.507
