wl,white_fabric,spyedark
484.56,62.646,20.443
484.91,62.78,20.431
485.27,62.702,20.425
485.62,62.733,20.437
485.98,62.695,20.442
486.33,62.625,20.422
486.69,62.607,20.411
487.04,62.667,20.39
487.4,62.637,20.336
487.75,62.591,20.312
488.11,62.584,20.259
488.46,62.668,20.29
488.82,62.727,20.293
489.17,62.732,20.304
489.53,62.805,20.313
489.88,62.832,20.319
490.24,62.843,20.269
490.59,62.857,20.261
490.95,62.869,20.224
491.3,62.846,20.251
491.65,62.903,20.309
492.01,62.87,20.364
492.36,62.91,20.349
492.72,62.919,20.352
493.07,62.888,20.333
493.43,62.836,20.319
493.78,62.805,20.278
494.13,62.841,20.29
494.49,62.855,20.278
494.84,62.858,20.275
495.2,62.88,20.312
495.55,62.853,20.3
495.9,62.915,20.332
496.26,62.858,20.325
496.61,62.872,20.385
496.97,62.894,20.385
497.32,62.933,20.388
497.67,62.935,20.384
498.03,62.955,20.425
498.38,62.974,20.471
498.73,62.96,20.5
499.09,63.021,20.529
499.44,63.051,20.495
499.79,63.02,20.514
500.15,62.995,20.548
500.5,63.042,20.543
500.85,63.11,20.495
501.21,63.114,20.462
501.56,63.085,20.525
501.91,63.057,20.538
502.27,63.101,20.557
502.62,63.189,20.618
502.97,63.157,20.695
503.33,63.133,20.697
503.68,63.119,20.71
504.03,63.118,20.681
504.38,63.138,20.707
504.74,63.207,20.748
505.09,63.24,20.785
505.44,63.249,20.768
505.8,63.165,20.697
506.15,63.172,20.736
506.5,63.165,20.796
506.85,63.216,20.771
507.21,63.195,20.76
507.56,63.163,20.755
507.91,63.103,20.749
508.26,63.148,20.716
508.61,63.147,20.689
508.97,63.207,20.691
509.32,63.265,20.697
509.67,63.275,20.712
510.02,63.251,20.685
510.38,63.3,20.672
510.73,63.282,20.697
511.08,63.299,20.772
511.43,63.32,20.753
511.78,63.264,20.778
512.14,63.294,20.792
512.49,63.239,20.836
512.84,63.313,20.915
513.19,63.336,20.975
513.54,63.342,20.993
513.89,63.369,20.959
514.25,63.35,20.925
514.6,63.332,20.859
514.95,63.334,20.832
515.3,63.379,20.868
515.65,63.407,20.861
516,63.429,20.894
516.35,63.455,20.89
516.71,63.458,20.886
517.06,63.433,20.885
517.41,63.403,20.92
517.76,63.395,20.897
518.11,63.37,20.891
518.46,63.406,20.92
518.81,63.391,20.919
519.16,63.444,20.894
519.51,63.477,20.865
519.86,63.504,20.891
520.22,63.541,20.936
520.57,63.574,20.989
520.92,63.59,20.955
521.27,63.589,20.954
521.62,63.615,20.892
521.97,63.578,20.903
522.32,63.591,20.938
522.67,63.619,20.925
523.02,63.672,20.908
523.37,63.659,20.912
523.72,63.623,20.908
524.07,63.599,20.923
524.42,63.627,20.896
524.77,63.682,20.917
525.12,63.707,20.895
525.47,63.652,20.862
525.82,63.66,20.842
526.17,63.665,20.816
526.52,63.7,20.798
526.87,63.685,20.806
527.22,63.705,20.853
527.57,63.634,20.856
527.92,63.625,20.865
528.27,63.618,20.947
528.62,63.654,20.991
528.97,63.656,20.957
529.32,63.63,20.936
529.67,63.63,20.931
530.02,63.678,20.971
530.37,63.729,20.997
530.72,63.741,20.999
531.07,63.737,21.06
531.42,63.772,21.087
531.77,63.782,21.047
532.12,63.819,21.077
532.47,63.858,21.077
532.81,63.862,21.097
533.16,63.837,21.133
533.51,63.877,21.162
533.86,63.849,21.105
534.21,63.829,21.149
534.56,63.863,21.132
534.91,63.839,21.122
535.26,63.88,21.112
535.61,63.856,21.098
535.96,63.9,21.091
536.3,63.872,21.079
536.65,63.878,21.094
537,63.923,21.137
537.35,63.941,21.165
537.7,63.941,21.236
538.05,63.906,21.272
538.4,63.928,21.265
538.74,63.928,21.196
539.09,63.944,21.222
539.44,63.985,21.285
539.79,63.983,21.307
540.14,64.028,21.264
540.48,64.009,21.289
540.83,64.057,21.339
541.18,64.076,21.324
541.53,64.053,21.326
541.88,64.093,21.379
542.23,64.066,21.38
542.57,63.995,21.403
542.92,63.965,21.406
543.27,63.984,21.413
543.62,64.036,21.458
543.96,64.088,21.48
544.31,64.109,21.535
544.66,64.113,21.524
545.01,64.103,21.509
545.35,64.127,21.56
545.7,64.133,21.566
546.05,64.133,21.56
546.4,64.15,21.562
546.74,64.163,21.593
547.09,64.154,21.582
547.44,64.103,21.587
547.79,64.026,21.644
548.13,63.948,21.671
548.48,63.93,21.637
548.83,63.917,21.692
549.17,63.88,21.718
549.52,63.946,21.747
549.87,63.897,21.683
550.22,63.967,21.716
550.56,63.985,21.711
550.91,63.948,21.704
551.26,64.027,21.746
551.6,64.07,21.76
551.95,64.079,21.782
552.3,64.044,21.807
552.64,64.038,21.823
552.99,64.04,21.837
553.33,64.048,21.856
553.68,64.047,21.825
554.03,64.059,21.819
554.37,64.04,21.837
554.72,63.976,21.827
555.07,63.994,21.84
555.41,64.019,21.892
555.76,64.005,21.904
556.11,63.985,21.9
556.45,64.033,21.966
556.8,64.032,21.963
557.14,64.045,21.981
557.49,64.09,22.024
557.83,64.035,22.029
558.18,64.061,21.989
558.53,64.016,21.961
558.87,64.063,21.983
559.22,64.003,22.027
559.56,64.01,22.008
559.91,63.969,22.07
560.25,63.974,22.016
560.6,63.939,21.938
560.95,63.939,21.977
561.29,63.986,22.055
561.64,63.905,22.087
561.98,63.918,22.084
562.33,63.912,22.075
562.67,63.874,22.117
563.02,63.906,22.124
563.36,63.906,22.073
563.71,63.906,22.048
564.05,63.908,22.041
564.4,63.858,22.033
564.74,63.922,22.051
565.09,64.038,22.019
565.43,64.041,22.043
565.78,64.021,22.056
566.12,63.954,22.073
566.47,63.893,22.044
566.81,63.943,22.019
567.16,63.923,21.986
567.5,63.931,21.986
567.84,63.916,22.004
568.19,63.914,22.007
568.53,63.917,22.033
568.88,63.915,22.084
569.22,63.952,22.054
569.57,63.961,22.058
569.91,64.022,22.09
570.26,64.09,22.036
570.6,64.173,22.048
570.94,64.234,22.073
571.29,64.236,22.097
571.63,64.207,22.076
571.98,64.184,22.051
572.32,64.225,22.1
572.66,64.148,22.07
573.01,64.201,22.054
573.35,64.258,22.033
573.69,64.167,21.995
574.04,64.164,22.011
574.38,64.136,21.986
574.73,64.165,21.992
575.07,64.162,21.962
575.41,64.196,21.944
575.76,64.223,21.978
576.1,64.314,21.991
576.44,64.252,22.002
576.79,64.233,22.05
577.13,64.283,22.049
577.47,64.25,22.058
577.82,64.303,22.037
578.16,64.359,22.07
578.5,64.378,22.053
578.84,64.381,22.055
579.19,64.372,22.027
579.53,64.352,22.008
579.87,64.32,22.024
580.22,64.437,22.075
580.56,64.443,22.123
580.9,64.424,22.133
581.24,64.398,22.133
581.59,64.42,22.131
581.93,64.361,22.115
582.27,64.394,22.067
582.62,64.418,22.082
582.96,64.45,22.16
583.3,64.456,22.194
583.64,64.475,22.182
583.98,64.55,22.154
584.33,64.507,22.13
584.67,64.522,22.168
585.01,64.655,22.147
585.35,64.706,22.132
585.7,64.705,22.112
586.04,64.643,22.139
586.38,64.635,22.156
586.72,64.717,22.176
587.06,64.714,22.192
587.41,64.7,22.2
587.75,64.767,22.201
588.09,64.803,22.177
588.43,64.796,22.171
588.77,64.908,22.152
589.11,64.812,22.203
589.46,64.849,22.27
589.8,64.833,22.302
590.14,64.877,22.262
590.48,64.876,22.306
590.82,64.893,22.297
591.16,64.949,22.283
591.5,64.961,22.286
591.85,64.991,22.285
592.19,64.99,22.256
592.53,64.962,22.306
592.87,64.999,22.3
593.21,64.967,22.288
593.55,65.027,22.26
593.89,65.06,22.27
594.23,65.022,22.343
594.57,65.025,22.306
594.91,65.083,22.325
595.25,65.033,22.324
595.6,65.025,22.318
595.94,65.045,22.338
596.28,65.019,22.295
596.62,65.069,22.318
596.96,65.041,22.318
597.3,65.094,22.364
597.64,65.055,22.343
597.98,64.979,22.363
598.32,64.953,22.389
598.66,64.963,22.442
599,64.972,22.401
599.34,64.985,22.417
