wl,grey,white
411.17,5.11E-02,4.13E-02
411.53,5.03E-02,4.14E-02
411.89,5.25E-02,4.13E-02
412.26,5.51E-02,4.31E-02
412.62,5.89E-02,4.61E-02
412.99,5.90E-02,4.58E-02
413.35,5.98E-02,4.74E-02
413.71,5.98E-02,4.85E-02
414.08,6.26E-02,4.87E-02
414.44,6.13E-02,4.78E-02
414.81,6.42E-02,5.16E-02
415.17,6.55E-02,5.40E-02
415.53,6.98E-02,5.79E-02
415.9,7.05E-02,5.60E-02
416.26,6.88E-02,5.86E-02
416.62,7.25E-02,6.06E-02
416.99,7.46E-02,6.23E-02
417.35,7.45E-02,6.28E-02
417.71,7.58E-02,6.81E-02
418.08,7.54E-02,6.79E-02
418.44,7.43E-02,6.77E-02
418.8,7.72E-02,6.87E-02
419.17,7.80E-02,6.92E-02
419.53,8.01E-02,7.23E-02
419.89,8.27E-02,7.65E-02
420.26,8.55E-02,8.08E-02
420.62,8.70E-02,8.14E-02
420.98,9.04E-02,8.50E-02
421.35,9.07E-02,8.62E-02
421.71,9.23E-02,8.98E-02
422.07,9.31E-02,9.23E-02
422.43,9.72E-02,9.45E-02
422.8,9.95E-02,9.97E-02
423.16,1.02E-01,1.05E-01
423.52,1.04E-01,1.10E-01
423.89,1.09E-01,1.16E-01
424.25,1.11E-01,1.21E-01
424.61,1.13E-01,1.25E-01
424.97,1.17E-01,1.33E-01
425.34,1.22E-01,1.41E-01
425.7,1.30E-01,1.48E-01
426.06,1.35E-01,1.57E-01
426.42,1.42E-01,1.67E-01
426.79,1.48E-01,1.75E-01
427.15,1.56E-01,1.84E-01
427.51,1.63E-01,1.94E-01
427.87,1.74E-01,2.09E-01
428.23,1.87E-01,2.23E-01
428.6,1.95E-01,2.36E-01
428.96,2.08E-01,2.51E-01
429.32,2.22E-01,2.69E-01
429.68,2.35E-01,2.84E-01
430.04,2.50E-01,2.98E-01
430.41,2.66E-01,3.20E-01
430.77,2.82E-01,3.41E-01
431.13,2.95E-01,3.61E-01
431.49,3.13E-01,3.82E-01
431.85,3.32E-01,4.07E-01
432.21,3.53E-01,4.31E-01
432.58,3.73E-01,4.58E-01
432.94,3.96E-01,4.86E-01
433.3,4.23E-01,5.16E-01
433.66,4.51E-01,5.47E-01
434.02,4.80E-01,5.81E-01
434.38,5.11E-01,6.19E-01
434.75,5.40E-01,6.57E-01
435.11,5.70E-01,6.96E-01
435.47,6.02E-01,7.36E-01
435.83,6.34E-01,7.78E-01
436.19,6.71E-01,8.20E-01
436.55,7.10E-01,8.68E-01
436.91,7.49E-01,9.17E-01
437.27,7.90E-01,9.70E-01
437.64,8.30E-01,1.02E+00
438,8.73E-01,1.08E+00
438.36,9.18E-01,1.14E+00
438.72,9.69E-01,1.20E+00
439.08,1.02E+00,1.26E+00
439.44,1.07E+00,1.33E+00
439.8,1.12E+00,1.39E+00
440.16,1.17E+00,1.46E+00
440.52,1.23E+00,1.53E+00
440.88,1.29E+00,1.61E+00
441.24,1.35E+00,1.69E+00
441.6,1.42E+00,1.77E+00
441.96,1.49E+00,1.87E+00
442.32,1.56E+00,1.96E+00
442.69,1.64E+00,2.05E+00
443.05,1.73E+00,2.16E+00
443.41,1.81E+00,2.26E+00
443.77,1.89E+00,2.36E+00
444.13,1.97E+00,2.47E+00
444.49,2.06E+00,2.58E+00
444.85,2.15E+00,2.70E+00
445.21,2.23E+00,2.82E+00
445.57,2.32E+00,2.93E+00
445.93,2.42E+00,3.05E+00
446.29,2.51E+00,3.17E+00
446.65,2.61E+00,3.30E+00
447.01,2.71E+00,3.42E+00
447.37,2.81E+00,3.55E+00
447.73,2.91E+00,3.67E+00
448.09,3.01E+00,3.80E+00
448.45,3.12E+00,3.93E+00
448.81,3.23E+00,4.07E+00
449.17,3.33E+00,4.20E+00
449.53,3.44E+00,4.33E+00
449.88,3.55E+00,4.46E+00
450.24,3.65E+00,4.60E+00
450.6,3.74E+00,4.72E+00
450.96,3.84E+00,4.84E+00
451.32,3.94E+00,4.96E+00
451.68,4.03E+00,5.09E+00
452.04,4.13E+00,5.21E+00
452.4,4.21E+00,5.32E+00
452.76,4.29E+00,5.43E+00
453.12,4.37E+00,5.52E+00
