wl,ir
410.67,-0.03
411.034,-0.02
411.397,-0.02
411.761,-0.03
412.124,-0.03
412.488,-0.03
412.851,-0.03
413.215,-0.02
413.578,-0.03
413.941,-0.02
414.305,-0.02
414.668,-0.02
415.031,-0.02
415.394,-0.02
415.757,-0.02
416.12,-0.02
416.483,-0.01
416.846,-0.01
417.209,-0.01
417.572,-0.02
417.935,-0.02
418.298,-0.02
418.661,-0.02
419.024,-0.02
419.386,-0.02
419.749,-0.02
420.112,-0.02
420.474,-0.02
420.837,-0.02
421.199,-0.02
421.562,-0.02
421.924,-0.02
422.287,-0.02
422.649,-0.02
423.011,-0.02
423.374,-0.02
423.736,-0.02
424.098,-0.03
424.46,-0.03
424.822,-0.03
425.184,-0.02
425.546,-0.02
425.908,-0.02
426.27,-0.02
426.632,-0.02
426.994,-0.03
427.356,-0.03
427.718,-0.02
428.08,-0.02
428.441,-0.02
428.803,-0.01
429.165,-0.01
429.526,-0.01
429.888,-0.01
430.249,-0.01
430.611,0
430.972,-0.01
431.334,-0.01
431.695,-0.01
432.056,-0.01
432.417,-0.01
432.779,-0.01
433.14,0
433.501,0
433.862,-0.01
434.223,-0.01
434.584,-0.02
434.945,-0.02
435.306,-0.03
435.667,-0.03
436.028,-0.02
436.389,-0.02
436.75,-0.03
437.11,-0.02
437.471,-0.02
437.832,-0.02
438.192,-0.02
438.553,-0.02
438.913,-0.02
439.274,-0.02
439.634,-0.02
439.995,-0.03
440.355,-0.03
440.716,-0.03
441.076,-0.03
441.436,-0.03
441.796,-0.03
442.156,-0.03
442.517,-0.03
442.877,-0.03
443.237,-0.03
443.597,-0.03
443.957,-0.03
444.317,-0.03
444.677,-0.03
445.036,-0.03
445.396,-0.03
445.756,-0.03
446.116,-0.02
446.475,-0.02
446.835,-0.02
447.195,-0.02
447.554,-0.01
447.914,-0.01
448.273,-0.01
448.633,-0.01
448.992,-0.01
449.351,0
449.711,0
450.07,-0.01
450.429,-0.01
450.788,-0.01
451.147,-0.01
451.507,0
451.866,-0.01
452.225,-0.01
452.584,-0.01
452.943,-0.01
453.301,-0.01
453.66,-0.01
454.019,-0.02
454.378,-0.02
454.737,-0.02
455.095,-0.02
455.454,-0.02
455.813,-0.02
456.171,-0.02
456.53,-0.02
456.888,-0.02
457.247,-0.03
457.605,-0.03
457.963,-0.02
458.322,-0.02
458.68,-0.02
459.038,-0.02
459.396,-0.02
459.754,-0.02
460.113,-0.02
460.471,-0.02
460.829,-0.02
461.187,-0.03
461.545,-0.02
461.902,-0.02
462.26,-0.01
462.618,-0.02
462.976,-0.02
463.334,-0.01
463.691,-0.01
464.049,-0.02
464.407,-0.02
464.764,-0.02
465.122,-0.02
465.479,-0.02
465.837,-0.02
466.194,-0.02
466.551,-0.02
466.909,-0.02
467.266,-0.01
467.623,-0.01
467.98,-0.02
468.337,-0.01
468.695,-0.01
469.052,-0.01
469.409,-0.02
469.766,-0.01
470.123,-0.01
470.479,-0.01
470.836,0
471.193,-0.01
471.55,0
471.907,-0.01
472.263,-0.01
472.62,-0.01
472.977,-0.01
473.333,-0.01
473.69,0
474.046,0
474.403,-0.01
474.759,-0.01
475.115,0
475.472,0
475.828,0
476.184,0
476.54,0
476.896,0
477.252,0
477.608,0
477.964,0
478.32,0
478.676,0
479.032,0
479.388,0
479.744,-0.01
480.1,0
480.455,0
480.811,0
481.167,-0.01
481.522,-0.01
481.878,-0.01
482.233,-0.02
482.589,-0.02
482.944,-0.02
483.3,-0.02
483.655,-0.02
484.01,-0.03
484.365,-0.03
484.721,-0.02
485.076,-0.03
485.431,-0.03
485.786,-0.03
486.141,-0.03
486.496,-0.03
486.851,-0.03
487.206,-0.03
487.561,-0.03
487.915,-0.03
488.27,-0.03
488.625,-0.02
488.98,-0.03
489.334,-0.03
489.689,-0.02
490.043,-0.02
490.398,-0.02
490.752,-0.02
491.107,-0.01
491.461,-0.02
491.816,-0.02
492.17,-0.02
492.524,-0.02
492.878,-0.02
493.233,-0.02
493.587,-0.02
493.941,-0.02
494.295,-0.02
494.649,-0.02
495.003,-0.01
495.357,-0.01
495.711,-0.01
496.064,-0.02
496.418,-0.01
496.772,-0.01
497.126,-0.01
497.479,-0.01
497.833,-0.01
498.186,-0.01
498.54,-0.01
498.893,-0.01
499.247,0
499.6,0
499.954,-0.01
500.307,-0.01
500.66,-0.01
501.013,-0.01
501.367,-0.01
501.72,-0.01
502.073,-0.01
502.426,-0.01
502.779,-0.01
503.132,-0.01
503.485,-0.01
503.838,-0.01
504.191,-0.02
504.543,-0.02
504.896,-0.02
505.249,-0.02
505.601,-0.02
505.954,-0.02
506.307,-0.02
506.659,-0.02
507.012,-0.02
507.364,-0.02
507.716,-0.02
508.069,-0.02
508.421,-0.02
508.773,-0.02
509.126,-0.02
509.478,-0.01
509.83,-0.02
510.182,-0.01
510.534,-0.01
510.886,-0.01
511.238,-0.01
511.59,-0.01
511.942,-0.01
512.294,-0.01
512.645,-0.01
512.997,-0.01
513.349,-0.01
513.701,-0.02
514.052,-0.02
514.404,-0.02
514.755,-0.02
515.107,-0.02
515.458,-0.02
515.81,-0.02
516.161,-0.02
516.512,-0.02
516.864,-0.02
517.215,-0.02
517.566,-0.02
517.917,-0.02
518.268,-0.02
518.619,-0.01
518.97,-0.01
519.321,-0.02
519.672,-0.01
520.023,-0.01
520.374,-0.02
520.725,-0.02
521.075,-0.01
521.426,-0.01
521.777,-0.02
522.127,-0.02
522.478,-0.02
522.828,-0.02
523.179,-0.02
523.529,-0.02
523.88,-0.02
524.23,-0.02
524.58,-0.03
524.93,-0.03
525.281,-0.02
525.631,-0.02
525.981,-0.02
526.331,-0.02
526.681,-0.02
527.031,-0.02
527.381,-0.02
527.731,-0.02
528.081,-0.02
528.43,-0.02
528.78,-0.02
529.13,-0.02
529.48,-0.01
529.829,-0.02
530.179,-0.01
530.528,-0.01
530.878,-0.01
531.227,-0.01
531.577,-0.01
531.926,-0.02
532.275,-0.01
532.625,-0.01
532.974,-0.01
533.323,-0.01
533.672,-0.01
534.021,-0.01
534.37,-0.01
534.719,-0.01
535.068,-0.02
535.417,-0.02
535.766,-0.02
536.115,-0.02
536.464,-0.02
536.812,-0.02
537.161,-0.02
537.51,-0.02
537.858,-0.02
538.207,-0.02
538.555,-0.02
538.904,-0.02
539.252,-0.02
539.601,-0.03
539.949,-0.03
540.297,-0.02
540.646,-0.03
540.994,-0.02
541.342,-0.02
541.69,-0.02
542.038,-0.02
542.386,-0.02
542.734,-0.02
543.082,-0.02
543.43,-0.02
543.778,-0.03
544.126,-0.03
544.473,-0.03
544.821,-0.03
