# EdfVersion=4.0,,,,
# Date=2024-01-18T10:33:21.251018-08:00,,,,
# ApplicationName=ControlCenter,,,,
# ApplicationVersion=1.40.2,,,,
# FilePath=/Users/melissaleon/data_logging/2024-01-18_10-33-00-SHT4x_255533031.edf,,,,
# HostName=MacBook-Pro-383.local,,,,
# MeasurementGroup=01c07f71-84d4-49f0-83f0-75abcd1ef8b6,,,,
# MeasurementSession=e86895d0-0d8b-4882-a6b5-ebe7c0b581d7,,,,
# OperatingSystem=macOS-13.2.1-x86_64-i386-64bit,,,,
# SensorId=255533031,,,,
"# Type=float64,Format=.2f,Unit=s",units=s,"Type=string,Format=","Device=SensorBridge_(09407e),Device_Serial_Number=SensorBridge-11001C000C50334D34353320,Port=1,SensorName=SHT4x,Sensor_Serial_Number=255533031,Signal=Temperature,Type=float,Format=.6f,Unit=°C,Product=SHT4x,Measurement_Frequency=2.0Hz,Downsampling=keep_first_of_every_5_samples","Device=SensorBridge_(09407e),Device_Serial_Number=SensorBridge-11001C000C50334D34353320,Port=1,SensorName=SHT4x,Sensor_Serial_Number=255533031,Signal=Relative_Humidity,Type=float,Format=.6f,Unit=%RH,Product=SHT4x,Measurement_Frequency=2.0Hz,Downsampling=keep_first_of_every_5_samples"
Epoch_UTC,time_elapsed,Local_Date_Time,T_SHT4x_255533031,RH_SHT4x_255533031
1705603213,431.58,2024-01-18T10:40:13.130000-08:00,21.815948,26.795453
1705603216,434.11,2024-01-18T10:40:15.660000-08:00,21.850662,26.76112
1705603218,436.64,2024-01-18T10:40:18.190000-08:00,21.83197,26.785916
1705603221,439.15,2024-01-18T10:40:20.700000-08:00,21.821289,26.749676
1705603223,441.68,2024-01-18T10:40:23.230000-08:00,21.853333,26.730602
1705603226,444.19,2024-01-18T10:40:25.740000-08:00,21.861343,26.736324
1705603228,446.72,2024-01-18T10:40:28.270000-08:00,21.805267,26.738231
1705603231,449.25,2024-01-18T10:40:30.800000-08:00,21.821289,26.76112
1705603233,451.78,2024-01-18T10:40:33.330000-08:00,21.83197,26.759213
1705603236,454.29,2024-01-18T10:40:35.840000-08:00,21.823959,26.787823
1705603238,456.82,2024-01-18T10:40:38.370000-08:00,21.83197,26.770657
1705603241,459.35,2024-01-18T10:40:40.900000-08:00,21.837311,26.763027
1705603243,461.87,2024-01-18T10:40:43.420000-08:00,21.837311,26.831693
1705603246,464.39,2024-01-18T10:40:45.940000-08:00,21.856003,26.793545
1705603248,466.91,2024-01-18T10:40:48.460000-08:00,21.858673,26.787823
1705603251,469.44,2024-01-18T10:40:50.990000-08:00,21.82663,26.742046
1705603254,471.97,2024-01-18T10:40:53.520000-08:00,21.869354,26.757305
1705603256,474.48,2024-01-18T10:40:56.030000-08:00,21.861343,26.79736
1705603259,477.03,2024-01-18T10:40:58.580000-08:00,21.83197,26.734417
1705603261,479.55,2024-01-18T10:41:01.100000-08:00,21.83197,26.763027
1705603264,482.08,2024-01-18T10:41:03.630000-08:00,21.83197,26.770657
1705603266,484.60,2024-01-18T10:41:06.150000-08:00,21.850662,26.801175
1705603269,487.12,2024-01-18T10:41:08.670000-08:00,21.83197,26.793545
1705603271,489.65,2024-01-18T10:41:11.200000-08:00,21.821289,26.753491
1705603274,492.18,2024-01-18T10:41:13.730000-08:00,21.869354,26.776379
1705603276,494.71,2024-01-18T10:41:16.260000-08:00,21.850662,26.808804
1705603279,497.22,2024-01-18T10:41:18.770000-08:00,21.82663,26.749676
1705603281,499.75,2024-01-18T10:41:21.300000-08:00,21.83197,26.749676
1705603284,502.26,2024-01-18T10:41:23.810000-08:00,21.847992,26.774472
1705603286,504.79,2024-01-18T10:41:26.340000-08:00,21.856003,26.763027
1705603289,507.32,2024-01-18T10:41:28.870000-08:00,21.83197,26.785916
1705603291,509.83,2024-01-18T10:41:31.380000-08:00,21.837311,26.785916
1705603294,512.36,2024-01-18T10:41:33.910000-08:00,21.83197,26.774472
1705603296,514.89,2024-01-18T10:41:36.440000-08:00,21.845322,26.747768
1705603299,517.40,2024-01-18T10:41:38.950000-08:00,21.83197,26.774472
1705603301,519.93,2024-01-18T10:41:41.480000-08:00,21.83197,26.812619
1705603304,522.45,2024-01-18T10:41:44-08:00,21.83197,26.814527
1705603307,524.97,2024-01-18T10:41:46.520000-08:00,21.834641,26.806897
1705603309,527.48,2024-01-18T10:41:49.030000-08:00,21.83197,26.793545
1705603312,530.01,2024-01-18T10:41:51.560000-08:00,21.837311,26.820249
1705603314,532.53,2024-01-18T10:41:54.080000-08:00,21.847992,26.770657
1705603317,535.06,2024-01-18T10:41:56.610000-08:00,21.861343,26.816434
1705603319,537.57,2024-01-18T10:41:59.120000-08:00,21.837311,26.780194
1705603322,540.10,2024-01-18T10:42:01.650000-08:00,21.853333,26.763027
1705603324,542.63,2024-01-18T10:42:04.180000-08:00,21.82663,26.782101
1705603327,545.16,2024-01-18T10:42:06.710000-08:00,21.866684,26.76875
1705603329,547.69,2024-01-18T10:42:09.240000-08:00,21.869354,26.795453
1705603332,550.20,2024-01-18T10:42:11.750000-08:00,21.869354,26.764935
1705603334,552.73,2024-01-18T10:42:14.280000-08:00,21.858673,26.722972
1705603337,555.26,2024-01-18T10:42:16.810000-08:00,21.861343,26.751583
1705603339,557.78,2024-01-18T10:42:19.330000-08:00,21.858673,26.801175
1705603342,560.30,2024-01-18T10:42:21.850000-08:00,21.842651,26.785916
1705603344,562.82,2024-01-18T10:42:24.370000-08:00,21.83197,26.787823
1705603347,565.35,2024-01-18T10:42:26.900000-08:00,21.834641,26.818341
1705603349,567.87,2024-01-18T10:42:29.420000-08:00,21.842651,26.824063
1705603352,570.39,2024-01-18T10:42:31.940000-08:00,21.810608,26.837415
1705603354,572.92,2024-01-18T10:42:34.470000-08:00,21.858673,26.839322
1705603357,575.44,2024-01-18T10:42:36.990000-08:00,21.850662,26.850767
1705603360,577.96,2024-01-18T10:42:39.510000-08:00,21.842651,26.852674
1705603362,580.49,2024-01-18T10:42:42.040000-08:00,21.842651,26.812619
1705603365,583.02,2024-01-18T10:42:44.570000-08:00,21.842651,26.80499
1705603367,585.55,2024-01-18T10:42:47.100000-08:00,21.845322,26.8336
